"id","num_wave_voted","num_bi_switch","bi_switch_ratio","bi_ifswitch"
1,7,0,0,0
2,11,1,0.1,1
3,10,1,0.111111111111111,1
4,1,0,0,0
5,2,1,1,1
6,7,2,0.333333333333333,1
7,9,1,0.125,1
8,10,0,0,0
9,11,0,0,0
10,7,0,0,0
11,6,0,0,0
12,1,0,0,0
13,3,0,0,0
14,9,1,0.125,1
15,12,1,0.0909090909090909,1
16,4,0,0,0
17,9,0,0,0
18,10,0,0,0
19,7,0,0,0
20,3,0,0,0
21,1,0,0,0
22,2,0,0,0
23,8,0,0,0
24,7,0,0,0
25,3,0,0,0
26,3,0,0,0
27,5,0,0,0
28,5,2,0.5,1
29,11,7,0.7,1
30,11,1,0.1,1
31,9,0,0,0
32,10,2,0.222222222222222,1
33,8,0,0,0
34,10,0,0,0
35,10,0,0,0
36,12,1,0.0909090909090909,1
37,3,0,0,0
38,6,0,0,0
39,12,0,0,0
40,12,0,0,0
41,12,0,0,0
42,9,0,0,0
43,11,0,0,0
44,11,0,0,0
45,10,0,0,0
46,12,0,0,0
47,5,0,0,0
48,7,2,0.333333333333333,1
49,11,0,0,0
50,10,3,0.333333333333333,1
51,9,0,0,0
52,8,1,0.142857142857143,1
53,8,1,0.142857142857143,1
54,4,0,0,0
55,11,0,0,0
56,12,1,0.0909090909090909,1
57,10,0,0,0
58,2,0,0,0
59,8,0,0,0
60,2,0,0,0
61,12,0,0,0
62,11,0,0,0
63,12,2,0.181818181818182,1
64,3,0,0,0
65,12,0,0,0
66,11,0,0,0
67,7,0,0,0
68,11,0,0,0
69,9,1,0.125,1
70,7,0,0,0
71,7,0,0,0
72,2,0,0,0
73,7,2,0.333333333333333,1
74,4,0,0,0
75,8,0,0,0
76,8,0,0,0
77,10,0,0,0
78,9,0,0,0
79,1,0,0,0
80,10,0,0,0
81,11,3,0.3,1
82,2,0,0,0
83,4,0,0,0
84,12,0,0,0
85,2,0,0,0
86,11,0,0,0
87,11,0,0,0
88,11,0,0,0
89,12,0,0,0
90,11,0,0,0
91,4,0,0,0
92,3,0,0,0
93,8,1,0.142857142857143,1
94,7,1,0.166666666666667,1
95,6,4,0.8,1
96,11,0,0,0
97,3,0,0,0
98,12,0,0,0
99,8,0,0,0
100,8,0,0,0
101,12,0,0,0
102,8,0,0,0
103,12,0,0,0
104,7,1,0.166666666666667,1
105,6,0,0,0
106,4,0,0,0
107,8,1,0.142857142857143,1
108,12,0,0,0
109,10,0,0,0
110,2,0,0,0
111,7,0,0,0
112,10,0,0,0
113,10,0,0,0
114,9,0,0,0
115,11,0,0,0
116,8,0,0,0
117,8,0,0,0
118,11,0,0,0
119,12,2,0.181818181818182,1
120,12,0,0,0
121,11,0,0,0
122,8,0,0,0
123,5,0,0,0
124,4,0,0,0
125,8,0,0,0
126,12,1,0.0909090909090909,1
127,12,1,0.0909090909090909,1
128,10,0,0,0
129,10,0,0,0
130,12,0,0,0
131,5,0,0,0
132,8,0,0,0
133,10,0,0,0
134,5,0,0,0
135,10,1,0.111111111111111,1
136,10,2,0.222222222222222,1
137,5,0,0,0
138,6,0,0,0
139,5,0,0,0
140,11,0,0,0
141,9,1,0.125,1
142,10,1,0.111111111111111,1
143,1,0,0,0
144,10,0,0,0
145,8,0,0,0
146,12,0,0,0
147,5,1,0.25,1
148,5,0,0,0
149,1,0,0,0
150,3,0,0,0
151,6,0,0,0
152,8,0,0,0
153,7,0,0,0
154,7,2,0.333333333333333,1
155,6,0,0,0
156,7,0,0,0
157,11,0,0,0
158,4,2,0.666666666666667,1
159,1,0,0,0
160,7,0,0,0
161,2,0,0,0
162,12,0,0,0
163,9,0,0,0
164,12,1,0.0909090909090909,1
165,12,0,0,0
166,5,0,0,0
167,5,0,0,0
168,8,0,0,0
169,7,0,0,0
170,10,0,0,0
171,1,0,0,0
172,12,0,0,0
173,9,0,0,0
174,9,2,0.25,1
175,4,0,0,0
176,9,0,0,0
177,12,4,0.363636363636364,1
178,11,2,0.2,1
179,11,0,0,0
180,11,0,0,0
181,7,0,0,0
182,11,0,0,0
183,11,0,0,0
184,6,0,0,0
185,12,0,0,0
186,10,0,0,0
187,11,0,0,0
188,12,0,0,0
189,8,0,0,0
190,8,0,0,0
191,5,0,0,0
192,12,0,0,0
193,7,0,0,0
194,11,2,0.2,1
195,11,4,0.4,1
196,3,0,0,0
197,7,0,0,0
