"","id","num_wave_present","num_switch","switch_ratio","ifswitch"
"1",1,9,0,0,0
"2",2,12,2,0.166666666666667,1
"3",3,11,1,0.0909090909090909,1
"4",4,2,0,0,0
"5",5,2,1,0.5,1
"6",6,9,4,0.444444444444444,1
"7",7,11,1,0.0909090909090909,1
"8",8,11,0,0,0
"9",9,13,0,0,0
"10",10,8,0,0,0
"11",11,7,0,0,0
"12",12,1,0,0,0
"13",13,3,0,0,0
"14",14,10,4,0.4,1
"15",15,13,2,0.153846153846154,1
"16",16,5,2,0.4,1
"17",17,10,0,0,0
"18",18,11,0,0,0
"19",19,7,0,0,0
"20",20,3,0,0,0
"21",21,1,0,0,0
"22",22,2,0,0,0
"23",23,9,0,0,0
"24",24,8,0,0,0
"25",25,3,0,0,0
"26",26,3,1,0.333333333333333,1
"27",27,6,0,0,0
"28",28,6,2,0.333333333333333,1
"29",29,12,7,0.583333333333333,1
"30",30,13,2,0.153846153846154,1
"31",31,10,0,0,0
"32",32,11,2,0.181818181818182,1
"33",33,8,2,0.25,1
"34",34,11,2,0.181818181818182,1
"35",35,11,0,0,0
"36",36,13,1,0.0769230769230769,1
"37",37,4,0,0,0
"38",38,7,0,0,0
"39",39,13,0,0,0
"40",40,13,0,0,0
"41",41,13,0,0,0
"42",42,11,0,0,0
"43",43,13,0,0,0
"44",44,12,0,0,0
"45",45,11,1,0.0909090909090909,1
"46",46,13,0,0,0
"47",47,6,0,0,0
"48",48,8,2,0.25,1
"49",49,12,0,0,0
"50",50,11,6,0.545454545454545,1
"51",51,11,3,0.272727272727273,1
"52",52,9,6,0.666666666666667,1
"53",53,9,1,0.111111111111111,1
"54",54,5,0,0,0
"55",55,12,0,0,0
"56",56,13,4,0.307692307692308,1
"57",57,11,0,0,0
"58",58,2,1,0.5,1
"59",59,9,2,0.222222222222222,1
"60",60,3,0,0,0
"61",61,13,0,0,0
"62",62,12,0,0,0
"63",63,13,2,0.153846153846154,1
"64",64,3,0,0,0
"65",65,12,0,0,0
"66",66,12,0,0,0
"67",67,8,0,0,0
"68",68,13,0,0,0
"69",69,10,1,0.1,1
"70",70,8,0,0,0
"71",71,9,0,0,0
"72",72,2,0,0,0
"73",73,8,3,0.375,1
"74",74,4,2,0.5,1
"75",75,9,6,0.666666666666667,1
"76",76,9,0,0,0
"77",77,12,0,0,0
"78",78,9,0,0,0
"79",79,1,0,0,0
"80",80,11,0,0,0
"81",81,12,3,0.25,1
"82",82,2,0,0,0
"83",83,6,0,0,0
"84",84,13,0,0,0
"85",85,2,0,0,0
"86",86,12,0,0,0
"87",87,13,5,0.384615384615385,1
"88",88,12,2,0.166666666666667,1
"89",89,13,0,0,0
"90",90,13,0,0,0
"91",91,5,0,0,0
"92",92,3,0,0,0
"93",93,9,1,0.111111111111111,1
"94",94,7,1,0.142857142857143,1
"95",95,7,5,0.714285714285714,1
"96",96,13,0,0,0
"97",97,3,0,0,0
"98",98,13,4,0.307692307692308,1
"99",99,9,0,0,0
"100",100,9,4,0.444444444444444,1
"101",101,13,3,0.230769230769231,1
"102",102,10,0,0,0
"103",103,13,0,0,0
"104",104,8,1,0.125,1
"105",105,7,0,0,0
"106",106,5,0,0,0
"107",107,9,1,0.111111111111111,1
"108",108,13,0,0,0
"109",109,11,0,0,0
"110",110,2,0,0,0
"111",111,8,0,0,0
"112",112,11,2,0.181818181818182,1
"113",113,11,0,0,0
"114",114,10,0,0,0
"115",115,12,0,0,0
"116",116,9,0,0,0
"117",117,10,0,0,0
"118",118,12,0,0,0
"119",119,13,3,0.230769230769231,1
"120",120,13,0,0,0
"121",121,13,0,0,0
"122",122,8,0,0,0
"123",123,6,0,0,0
