"","id","num_wave_voted","num_switch","switch_ratio","ifswitch"
"1",1,7,0,0,0
"2",2,11,2,0.181818181818182,1
"3",3,10,1,0.1,1
"4",6,7,4,0.571428571428571,1
"5",7,9,1,0.111111111111111,1
"6",10,7,0,0,0
"7",11,6,0,0,0
"8",13,3,0,0,0
"9",15,12,2,0.166666666666667,1
"10",17,9,0,0,0
"11",18,10,0,0,0
"12",19,7,0,0,0
"13",20,3,0,0,0
"14",21,1,0,0,0
"15",22,2,0,0,0
"16",23,8,0,0,0
"17",24,7,0,0,0
"18",25,3,0,0,0
"19",27,5,0,0,0
"20",28,5,2,0.4,1
"21",29,11,7,0.636363636363636,1
"22",31,9,0,0,0
"23",34,10,2,0.2,1
"24",35,10,0,0,0
"25",36,12,1,0.0833333333333333,1
"26",37,3,0,0,0
"27",38,6,0,0,0
"28",39,12,0,0,0
"29",40,12,0,0,0
"30",41,12,0,0,0
"31",42,9,0,0,0
"32",43,11,0,0,0
"33",44,11,0,0,0
"34",45,10,1,0.1,1
"35",46,12,0,0,0
"36",47,5,0,0,0
"37",50,10,6,0.6,1
"38",53,8,1,0.125,1
"39",54,4,0,0,0
"40",55,11,0,0,0
"41",56,12,4,0.333333333333333,1
"42",58,2,1,0.5,1
"43",59,8,2,0.25,1
"44",61,12,0,0,0
"45",63,12,2,0.166666666666667,1
"46",64,3,0,0,0
"47",66,11,0,0,0
"48",68,11,0,0,0
"49",69,9,1,0.111111111111111,1
"50",70,7,0,0,0
"51",71,7,0,0,0
"52",74,4,2,0.5,1
"53",77,10,0,0,0
"54",78,9,0,0,0
"55",80,10,0,0,0
"56",81,11,3,0.272727272727273,1
"57",82,2,0,0,0
"58",83,4,0,0,0
"59",84,12,0,0,0
"60",85,2,0,0,0
"61",86,11,0,0,0
"62",87,11,5,0.454545454545455,1
"63",88,11,2,0.181818181818182,1
"64",89,12,0,0,0
"65",90,11,0,0,0
"66",92,3,0,0,0
"67",93,8,1,0.125,1
"68",94,7,1,0.142857142857143,1
"69",95,6,5,0.833333333333333,1
"70",97,3,0,0,0
"71",98,12,4,0.333333333333333,1
"72",99,8,0,0,0
"73",100,8,4,0.5,1
"74",101,12,3,0.25,1
"75",102,8,0,0,0
"76",103,12,0,0,0
