"","id","num_wave_voted","num_switch","switch_ratio","ifswitch"
"1",1,7,0,0,0
"2",2,11,2,0.181818181818182,1
"3",3,10,1,0.1,1
"4",4,1,0,0,0
"5",5,2,1,0.5,1
"6",8,10,0,0,0
"7",9,11,0,0,0
"8",11,6,0,0,0
"9",12,1,0,0,0
"10",13,3,0,0,0
"11",14,9,4,0.444444444444444,1
"12",15,12,2,0.166666666666667,1
"13",16,4,2,0.5,1
"14",17,9,0,0,0
"15",18,10,0,0,0
"16",19,7,0,0,0
"17",20,3,0,0,0
"18",21,1,0,0,0
"19",22,2,0,0,0
"20",23,8,0,0,0
"21",26,3,1,0.333333333333333,1
"22",27,5,0,0,0
"23",28,5,2,0.4,1
"24",30,11,2,0.181818181818182,1
"25",31,9,0,0,0
"26",32,10,2,0.2,1
"27",34,10,2,0.2,1
"28",35,10,0,0,0
"29",36,12,1,0.0833333333333333,1
"30",40,12,0,0,0
"31",42,9,0,0,0
"32",43,11,0,0,0
"33",44,11,0,0,0
"34",45,10,1,0.1,1
"35",46,12,0,0,0
"36",47,5,0,0,0
"37",49,11,0,0,0
"38",50,10,6,0.6,1
"39",51,9,3,0.333333333333333,1
"40",52,8,6,0.75,1
"41",53,8,1,0.125,1
"42",54,4,0,0,0
"43",55,11,0,0,0
"44",56,12,4,0.333333333333333,1
"45",58,2,1,0.5,1
"46",59,8,2,0.25,1
"47",60,2,0,0,0
"48",61,12,0,0,0
"49",62,11,0,0,0
"50",63,12,2,0.166666666666667,1
"51",64,3,0,0,0
"52",66,11,0,0,0
"53",68,11,0,0,0
"54",69,9,1,0.111111111111111,1
"55",70,7,0,0,0
"56",71,7,0,0,0
"57",72,2,0,0,0
"58",73,7,3,0.428571428571429,1
"59",76,8,0,0,0
"60",77,10,0,0,0
"61",78,9,0,0,0
"62",79,1,0,0,0
"63",80,10,0,0,0
"64",81,11,3,0.272727272727273,1
"65",83,4,0,0,0
"66",84,12,0,0,0
"67",85,2,0,0,0
"68",86,11,0,0,0
"69",87,11,5,0.454545454545455,1
"70",88,11,2,0.181818181818182,1
"71",89,12,0,0,0
"72",90,11,0,0,0
"73",93,8,1,0.125,1
"74",97,3,0,0,0
"75",98,12,4,0.333333333333333,1
